type,title,category,day,folder,tags,summary,publish
text,Doing Hard Things Changes Your Brain,tools_tips,,Toolkit,discipline;neuroplasticity,"Research from Andrew Huberman: choosing difficult tasks strengthens the brain systems for focus, stress tolerance and decision-making through neuroplasticity. Hard things that support mental health: exercise, cold exposure, hard conversations, keeping routines, setting boundaries, doing what you've been avoiding, sitting with discomfort, showing up when it's hard.",false
text,The Law of Attraction,tools_tips,,Toolkit,mindset;focus,"You attract what you focus on, think about and feel most deeply (Matthew 7:7). Focus on what you want, not what you don't. Energy flows where attention goes. The cycle: focus, visualise, feel, believe, attract, receive. What you focus on expands.",false
text,Physiological Sigh & Box Breathing,tools_tips,,Toolkit,breathing;anxiety;tools,"One of the fastest ways to reduce anxiety or panic in the moment. Physiological Sigh: inhale through the nose, short top-up inhale, slow exhale through the mouth, repeat up to 10 times. Box Breathing: inhale 4, hold 4, exhale 4, hold 4, repeat for 1-3 minutes.",false
text,Atomic Habits - James Clear,tools_tips,,Book Recommendations,books;habits,Hand-picked book recommendation from the journal.,false
text,The Subtle Art of Not Giving a F*ck - Mark Manson,tools_tips,,Book Recommendations,books;mindset,Hand-picked book recommendation from the journal.,false
text,The World's Fittest Book - Ross Edgley,physical_fitness,,Book Recommendations,books;fitness,Hand-picked book recommendation from the journal.,false
text,How to Win Friends and Influence People - Dale Carnegie,tools_tips,,Book Recommendations,books;connection,Hand-picked book recommendation from the journal.,false
text,The Molecule of More - Lieberman & Long,tools_tips,,Book Recommendations,books;psychology,Hand-picked book recommendation from the journal.,false
text,The Daily Stoic - Ryan Holiday & Stephen Hanselman,tools_tips,,Book Recommendations,books;stoicism,Hand-picked book recommendation from the journal.,false
text,The Power of Positive Thinking - Norman Vincent Peale,mental_fitness,,Book Recommendations,books;mindset,Hand-picked book recommendation from the journal.,false
text,Think and Grow Rich - Napoleon Hill,tools_tips,,Book Recommendations,books;success,Hand-picked book recommendation from the journal.,false
text,The Psychology of Money - Morgan Housel,tools_tips,,Book Recommendations,books;money,Hand-picked book recommendation from the journal.,false
text,Oversubscribed - Daniel Priestley,tools_tips,,Book Recommendations,books;business,Hand-picked book recommendation from the journal.,false
text,Let Them - Mel Robbins,mental_fitness,,Book Recommendations,books;mindset,Hand-picked book recommendation from the journal.,false
text,Don't Believe Everything You Think - Joseph Nguyen,mental_fitness,,Book Recommendations,books;mindset,Hand-picked book recommendation from the journal.,false
text,Upgrade - Paul Mort,mental_fitness,,Book Recommendations,books;mindset,Hand-picked book recommendation from the journal.,false
text,"Your happiness depends on the quality of your thoughts",mental_fitness,,Quotes,quote;stoic,Marcus Aurelius. (Welcome page + Thursday rotation.),false
text,Thoughts become things,mental_fitness,,Quotes,quote,Rotating Thursday Thoughts quote.,false
text,"Every adversity carries the seed of an equal or greater benefit",mental_fitness,,Quotes,quote,Napoleon Hill. Rotating Thursday Thoughts quote.,false
text,"The mind is everything. What you think, you become",mental_fitness,,Quotes,quote,Buddha. Rotating Thursday Thoughts quote.,false
text,"You cannot control what happens to you, but you can control how you respond",mental_fitness,,Quotes,quote,Rotating Thursday Thoughts quote.,false
text,"Where focus goes, energy flows",mental_fitness,,Quotes,quote,Rotating Thursday Thoughts quote.,false
text,Your thoughts shape your reality,mental_fitness,,Quotes,quote,Rotating Thursday Thoughts quote.,false
text,"Discipline is choosing between what you want now and what you want most",mental_fitness,,Quotes,quote;discipline,Rotating Thursday Thoughts quote.,false
text,Win the next point,mental_fitness,,Quotes,quote,Rotating Thursday Thoughts quote. Core journal motif - just try and win the day.,false
text,The strongest people are built through the hardest moments,mental_fitness,,Quotes,quote;resilience,Rotating Thursday Thoughts quote.,false
text,Energy grows where gratitude goes,mental_fitness,,Quotes,quote;gratitude,Rotating Thursday Thoughts quote.,false
text,You become what you repeatedly do,mental_fitness,,Quotes,quote;habits,Rotating Thursday Thoughts quote.,false
text,One small positive thought can change your whole day,mental_fitness,,Quotes,quote,Rotating Thursday Thoughts quote.,false
text,"It's what they do that makes them different",mental_fitness,,Quotes,quote,"There is no difference between a hero and a coward in what they feel. Rotating Thursday Thoughts quote.",false
text,Your habits shape your future,mental_fitness,,Quotes,quote;habits,Rotating Thursday Thoughts quote.,false
text,Weekly Review,mental_fitness,,Reviews & Milestones,review;weekly,"Reflect, learn and reset for the week ahead. Prompts: What habits served me this week? What challenges helped me grow? What lessons did I learn this week? What challenges did I overcome and what did they teach me? Do I feel better for sticking to my positive habits? What's one thing I can improve on going forward? Which habits am I going to double down on to continue the momentum?",false
text,30 Day Review,mental_fitness,,Reviews & Milestones,review;milestone,"Reflect, reset, refocus. Top 5 wins. Looking back: what am I most proud of, which habits helped most, what challenges have I overcome. What's working? What needs to change (what's holding me back)? Self-assessment 1-10: mindset, energy, discipline, relationships, confidence, overall progress. Next 30-day focus. Commitment statement + sign/date.",false
text,60 Day Review,mental_fitness,,Reviews & Milestones,review;milestone,"Reflect, adjust, strengthen. What progress since day one? What challenges have I overcome? Biggest wins (top 5). What have I learned about myself? Identity check: who am I becoming? Self-assessment 1-10: mental wellbeing, physical health, confidence, consistency, relationships, purpose. Next 30-day focus. Commitment statement + sign/date.",false
text,90 Day Review,mental_fitness,,Reviews & Milestones,review;milestone,"Reflect, celebrate, grow. You made a promise and kept it. Looking back: how has my mindset changed, what have I learned, what still needs work. Top 10 wins. Looking forward: habits to continue, next 3 goals, one promise to myself. Gratitude. Rate the last 90 days (1-10) across 8 areas. Final reflection + a letter to myself.",false
text,Welcome & Philosophy,mental_fitness,,Toolkit,intro;philosophy,"Your happiness depends on the quality of your thoughts (Marcus Aurelius). Questions are the steering wheel to our thoughts - this journal focuses them on the positives. The mind needs training just as much as the body: mental fitness. You can't build a house without foundations - do the fundamentals consistently. A 90-day plan. Don't try to win the match, just win the next point - just win the day.",false
text,Vision Board & Hot Pen,tools_tips,,Toolkit,vision;goals,"Write down everything you want from life - go big, no limits, no judgement. Use a HOT PEN technique: do not stop writing for ten minutes. Then create a visual vision board (pictures, goals, quotes, places, words, reminders, people, feelings, dreams) and place it somewhere you'll see it every single day. Your mind goes where your focus goes.",false
text,90 Day Plan of Attack,tools_tips,,Toolkit,goals;commitment,"Why won't I throw in the towel - when motivation fades, this is the reason I'll keep going. Key milestones: day 30, day 60, day 90. My five non-negotiables. My commitment to myself: I commit to showing up for myself over the next 90 days. I will not be perfect, but I will not quit. Sign and date.",false
